Como o Capítulo 5 conceitua o emprego do Poder Naval em atividades benignas?,"É o emprego organizado e autossustentável, com capacidades e conhecimentos especializados, sem o uso da violência ou a necessidade do potencial de força como pré-requisito."
Em que tipo de ambiente as atividades benignas do Poder Naval são normalmente desempenhadas no exterior?,"Normalmente, são desempenhadas em ambiente permissivo."
"De acordo com o texto, o que antecede o uso da força militar para a solução de contenciosos na política exterior do Brasil?",As relações diplomáticas antecedem o uso da força militar.
Qual princípio estabelecido no artigo 4º da CRFB orienta a solução de contenciosos na política externa brasileira?,O princípio da solução pacífica das controvérsias.
O que é 'diplomacia naval' no contexto do Poder Naval brasileiro?,"É o emprego do Poder Naval como um instrumento da política externa do Estado para influenciar, reforçar laços de amizade, garantir acordos e demonstrar intenções."
Qual documento de defesa nacional estabelece o apoio à política externa como uma atribuição do Poder Naval?,A Estratégia Nacional de Defesa (END).
Qual é a função dos meios navais quando atuam como 'embaixadores' do Brasil em portos estrangeiros?,"A função é 'mostrar bandeira', sob critérios político-estratégicos, como parte da diplomacia naval."
"O que é a Diplomacia Preventiva, uma das formas de emprego do Poder Naval?","É um tipo de Operação de Paz para prevenir o surgimento de disputas, evitar que degenerem em conflitos armados e impedir que se alastrem."
"A Diplomacia Preventiva constitui-se em uma ação consentida, sem o uso da _____.",força
"Cite duas formas de emprego do Poder Naval em tempo de paz que contribuem com a política externa, além das Operações de Paz.",Realizar operações com ação de presença no exterior e receber visita de navios de guerra de Marinhas amigas.
O que é uma 'operação humanitária' segundo o documento?,"É uma operação em outros países para reduzir os efeitos de desastres ou acidentes que ameaçam a vida ou causam grandes danos, e para prestar assistência cívico-social."
Qual é a expressão em doutrinas militares estrangeiras para 'operação humanitária'?,É conhecida como 'humanitarian assistance and disaster relief operations'.
O que representa a Ação Cívico-Social (ACISO)?,"É um conjunto de atividades de assistência e auxílio às comunidades, desenvolvidas pelas organizações militares para resolver problemas imediatos e prementes."
O que são as operações de assistência hospitalar conhecidas como ASSHOP?,"São operações de assistência hospitalar à população ribeirinha, realizadas rotineiramente pela MB com os Navios de Assistência Hospitalar."
"Além do caráter assistencial, em que outras áreas a ACISO se insere?",Insere-se como assunto civil e colabora nas operações psicológicas.
Cite dois benefícios operativos que as ASSHOP proporcionam à força naval nos cenários amazônico e do Pantanal.,Atualizar dados de inteligência operacional e intensificar o bom relacionamento com a população.
Qual lei disciplina a 'operação de socorro' como competência da Marinha?,"A Lei nº 7.273, de 10 de dezembro de 1984."
Qual é a finalidade principal da 'operação de socorro'?,"Prover serviços de busca e salvamento de vida humana em perigo no mar, nos portos e nas vias navegáveis interiores."
Qual convenção internacional torna o Brasil responsável por uma grande área marítima de socorro no Atlântico?,A Convenção Internacional sobre Busca e Salvamento Marítimo (Convenção SAR).
"A atividade de socorro, conhecida pela sigla SAR ('Search and Rescue'), refere-se a vida humana ou a material?","Refere-se exclusivamente à salvaguarda da vida humana, não a material."
Quem é o responsável direto pelas operações de busca a submarinos e socorro às suas tripulações (SARSUB)?,O Comandante de Operações Navais.
"Qual órgão, estruturado pelo Comando de Operações Navais, coordena as atividades de busca e salvamento marítimo no Brasil?",O SALVAMAR BRASIL ou 'Maritime Rescue Coordination Centre' (MRCC BRAZIL).
Quem coordena os incidentes SAR envolvendo aeronaves sobre o mar?,"O SALVAERO (Centro de Coordenação SAR Aeronáutico), com o apoio do SALVAMAR se necessário."
Qual lei disciplina a 'operação de salvamento' como competência da Marinha?,"A Lei nº 7.203, de 3 de julho de 1984."
Qual é a principal diferença entre a 'operação de socorro' e a 'operação de salvamento'?,"A operação de socorro visa salvar vidas humanas (SAR), enquanto a operação de salvamento visa salvar embarcações, coisas ou bens (material)."
Cite três atividades envolvidas no salvamento de material.,"Controle de avarias, combate a incêndios e reboque."
A operação de salvamento é um encargo compulsório para a MB?,"Não, salvo quando se tratar de seus próprios meios ou para prevenir danos a terceiros ou ao meio ambiente."
Quem é o responsável direto pelo salvamento de submarinos?,O Comandante de Operações Navais.
Qual é o propósito da desativação de artefatos explosivos?,"É uma ação preventiva para impedir que artefatos explosivos sejam acionados, causando destruição ou baixas."
Quais unidades da MB possuem militares especializados em desativar artefatos explosivos?,O Grupamento de Mergulhadores de Combate (GRUMEC) no meio aquático e o Batalhão de Engenharia de Fuzileiros Navais (BtlEngFuzNav) em terra.
"De acordo com a Lei Complementar nº 97/1999, qual é a atribuição subsidiária geral das FA em relação ao desenvolvimento nacional?","Cooperar com o desenvolvimento nacional, na forma determinada pelo Presidente da República."
Como a MB coopera com o desenvolvimento nacional por meio da construção naval?,"Implementando projetos e incentivando a construção de meios navais em estaleiros nacionais, fortalecendo a infraestrutura do setor."
"Qual diretoria da Marinha executa tarefas que contribuem para a navegação segura, como cartografia e sinalização náutica?",A Diretoria de Hidrografia e Navegação (DHN).
Qual é a atribuição subsidiária geral das FA em relação à defesa civil?,"Cooperar com a defesa civil, na forma determinada pelo Presidente da República."
Como a capacidade da MB de emitir previsões meteorológicas contribui para a defesa civil?,Contribui preventivamente na assistência às calamidades públicas.
Qual é a atribuição subsidiária particular da Marinha em relação à Marinha Mercante?,"Orientar e controlar a Marinha Mercante e suas atividades correlatas, no que interessa à defesa nacional."
